Name ,Country ,Sex,Age,University ,Department ,CGPA
Coretta Island,Sweden,M,28,Stockholm School of Economics,Business Development,4.56
Ailbert Dailly,South Africa,F,26,University of Witwatersrand,Product Management,2.32
Raeann Smout,China,M,36,Qingdao University,Marketing,2.95
Erhart Ainsbury,China,M,44,Shanxi Agricultural University,Engineering,4.4
Lynde Barrott,Indonesia,F,33,Universitas 17 Agustus 1945 Jakarta,Marketing,3.55
Katusha Castiglione,Nigeria,F,25,National Open University of Nigeria,Product Management,2.81
Lucius Shingfield,Iran,M,41,University of Tehran,Marketing,1.79
Aguste Fayer,Indonesia,M,44,Politeknik Negeri Semarang,Human Resources,0.8
Ferdinanda Oseland,Philippines,M,35,University of the Philippines Visayas - Cebu High School,Human Resources,4.8
Aurie Vasyushkhin,Indonesia,F,43,Universitas Wijaya Kusuma Purwokerto,Training,3.64
Roosevelt Gunson,China,F,49,Southwest Forestry University,Research and Development,3.97
Kelly Jacobs,Finland,F,33,Tampere University of Technology,Legal,4.51
Albrecht Cano,Brazil,F,38,Faculdade Jaguariúna,Legal,3.7
Jaquelyn Floris,Indonesia,F,31,Universitas Sultan Ageng Tirtayasa,Marketing,4.8
Martita Yashin,China,F,30,Shaanxi Normal University,Engineering,4.93
Benetta Cleminson,Portugal,F,41,Academia Nacional Superior de Orquesta,Marketing,0.12
Bendicty Burberye,China,F,49,Chinese People's Public Security University,Services,2.59
Lesya Dahlen,Russia,F,23,Kazan State Pedagogical University,Business Development,1.63
Sheffy Chinge,Libya,M,48,Libyan International Medical University (LIMU),Product Management,3.1
Bailie Holdforth,Germany,F,36,Fachhochschule Würzburg - Schweinfurt,Accounting,4.64
Langsdon Lumbley,Brazil,F,35,Faculdades Integradas Toledo,Engineering,3.24
Obed Matteris,Portugal,M,50,Universidade Portucalense Infante D. Henrique,Training,3.97
Eolande Verchambre,Argentina,F,39,Universidad Nacional del Littoral,Sales,4.08
Trumaine Baumert,Russia,F,32,Saratov State Socio-Economic University,Research and Development,2.36
Celestina Peachey,United States,F,25,Cleary College,Sales,2.75
Claresta Canet,Brazil,F,44,Universidade Regional Integrada do Alto Uruguai e das Missões,Sales,1.67
Rebekkah Fenners,Russia,M,27,Modern Institute of Managament,Accounting,2.73
Mendel Garretts,China,F,32,The University of Nottingham Ningbo China,Engineering,2.31
Anthony Rawles,Nepal,F,28,B.P.Koirala Institute of Health Sciences,Services,2.62
Archibold Fernez,Kyrgyzstan,M,20,American University of Central Asia,Engineering,3.62
Georgiana Thomasset,Philippines,F,20,Angeles University,Marketing,0.41
Tanney Dowse,Russia,F,48,Perm State University,Engineering,0.12
Ruggiero Vivash,Indonesia,M,20,Universitas 17 Agustus 1945 Cirebon,Legal,4.06
Kylie Gazey,China,M,44,Capital University of Economics and Business,Training,0.09
Chandler Tabbitt,Germany,F,40,Otto-Friedrich Universität Bamberg,Sales,4.79
Kamila Sabban,Costa Rica,F,27,Universidad Nacional,Support,3.04
Sonni Harrowell,Philippines,M,30,University of the Immaculate Conception,Training,2.93
Rolfe Jaukovic,Portugal,M,22,Instituto Superior de Entre Douro e Vouga,Legal,2.82
Aimee Szymonowicz,Ukraine,F,37,Kherson State University,Sales,0.47
Myrtle Semkins,Denmark,M,44,International People's College,Human Resources,4.44
Daveen Newlove,Indonesia,F,29,Universitas Darma Persada,Business Development,0.84
Selie Jinkins,France,M,39,Ecole Nationale Supérieure des Mines de St-Etienne,Marketing,4.58
Dickie Garmston,Russia,M,20,Saratov State Technical University,Services,4.24
Mitchell Eul,Ethiopia,F,41,Addis Ababa University,Accounting,3.83
Erma Tingey,China,M,28,Beijing Language and Culture University,Sales,3.47
Orion Umfrey,Philippines,F,50,Saint Louis University,Product Management,2.95
Mickey Hoolaghan,Philippines,F,39,University of the Philippines Visayas,Services,2.89
Ferne Hunter,Netherlands,M,34,Dutch Delta University,Accounting,4.73
Fulton Quiddinton,Sweden,M,47,Mälardalen University,Engineering,1.04
Darryl McCuaig,China,M,30,Chongqing Technology and Business University,Support,3.03
Mellicent Panchin,United States,F,31,Madonna University,Marketing,0.33
Hannah Fildery,Poland,F,42,University of Finance and Management in Bialystok,Training,0.05
Xenia Maus,Indonesia,F,38,Universitas Jember,Sales,0.23
Nicola Benfield,United States,M,28,Morehouse School of Medicine,Research and Development,4.07
Shelby Grinvalds,Kazakhstan,F,33,"Kazakhstan Institute of Management, Economics, and Strategic Research",Sales,3.37
Bearnard Sowman,France,F,46,Université Paris-Dauphine (Paris IX),Training,2.37
Aarika Lush,China,M,32,Northwest Normal University Lanzhou,Accounting,4.1
Adam Ridolfo,Nigeria,M,41,Pan-African University,Sales,2.12
Bren Hearnes,Nigeria,M,20,Kebbi State University of Science and Technology,Sales,4.99
Milty Catterick,Ethiopia,M,38,Dire Dawa University,Services,3.09
Amandi Folkerd,China,M,45,Huazhong University of Science and Technology,Sales,4.85
Kat Lafranconi,Portugal,M,32,Instituto Politécnico de Viana do Castelo,Legal,1.38
Karee Drakard,Poland,M,41,University of Silesia,Marketing,4.97
Jemima Omond,Philippines,M,25,Ateneo de Davao University,Training,4.21
Petr Raison,Philippines,F,49,University of Northern Philippines,Accounting,3.45
Hermine Verey,Brazil,F,47,Universidade de Franca,Research and Development,2.92
Laurel Abelwhite,Ukraine,M,38,Zaporizhzhe National Technical University,Support,0.33
Darleen Tredgold,Thailand,F,25,"Rajamangala University of Technology, Phra Nakhon",Human Resources,3.81
Nikita Croizier,United States,F,46,Westminster College New Wilmington,Sales,4.13
Gallard Haythorne,Mexico,F,46,Universidad Simón Bolivar,Training,0.43
Martynne Neylon,United States,F,21,Texas A&M International University,Sales,3.29
Clare Vint,Indonesia,M,26,Universitas Islam Sultan Agung,Product Management,1.84
Wendy Rainy,Philippines,M,26,Saint Louis University,Marketing,4.51
Dunc Quarlis,Poland,M,45,Zachodniopomorska School of Science and Engineering,Legal,2.04
Sylvia Derington,China,F,48,Qinghai Normal University,Services,0.92
