Name ,Country ,Sex,Age,University ,Department ,CGPA
Rudyard Applebee,Russia,M,20,Samara State Agricultural Academy,Accounting,4.92
Dorey Dillistone,Indonesia,F,35,Universitas Mahasaraswati Denpasar,Services,2.24
Malynda Denton,Russia,F,27,Novosibirsk State University,Research and Development,3.81
Nicky Lamburne,Indonesia,F,30,Universitas Mulawarman,Accounting,3.87
Raul Adamovitz,Canada,F,24,Centennial College,Research and Development,1.44
Shep Hillett,Russia,F,31,Moscow External University of the Humanities,Training,4.98
Berty Titmus,Portugal,F,42,Instituto Politecnico do Porto,Training,2.43
Kristian Phifer,Norway,F,25,Agricultural University of Norway,Marketing,0.48
Laina Dymoke,Macedonia,F,48,St.Kliment Ohridski University,Services,2.78
Sibylla Coultass,France,F,38,Université de Technologie de Troyes,Accounting,2.29
Sullivan Bearman,Thailand,M,27,Kasem Bundit University,Human Resources,1.99
Gilemette Marran,Guatemala,F,33,Universidad Francisco Marroquín,Services,3.64
Bonnee Leagas,Croatia,F,24,University of Dubrovnik,Legal,4.04
Jo Drew-Clifton,Mongolia,M,24,Mongolian University of Science and Technology,Business Development,4.59
Janna Saby,Indonesia,F,29,Stie Perbanas Surabaya,Product Management,1.96
Francis Cattlow,Yemen,M,29,Alahgaff University,Services,2.87
Anne-corinne Elms,Peru,F,20,Universidad Privada Sergio Bernales,Marketing,4.2
Codee Bartzen,Kenya,M,34,Egerton University,Sales,3.58
Marilyn Manie,Brazil,F,42,Pontificia Universidade Católica do Paraná,Marketing,3.75
Gerti Ammer,Mexico,M,23,Universidad Autónoma de Guerrero,Research and Development,4.75
Nikolai Rohan,Indonesia,F,32,STMIK Sinar Nusantara,Services,0.92
Kristal Ralfe,Nicaragua,F,44,Universidad de Managua (U de M),Engineering,3.88
Easter Kemm,China,F,40,Tibet University,Research and Development,3.66
Dorry Mildenhall,Nigeria,M,46,Salem University,Accounting,3.32
Perrine Ellingworth,Greece,F,33,Technological Education Institute of Serres,Legal,0.49
Jackie Sammons,China,M,26,Tsinghua University,Sales,2.49
Sophey Roust,Philippines,M,32,Leyte State University ,Human Resources,1.07
Moria Kobpac,Czech Republic,M,44,University of Veterinary and Pharmaceutical Science,Training,2.08
Ron Jouannot,Russia,M,50,Belgorod State Agricultural Academy,Accounting,4.71
Dallis Jeaffreson,Ireland,F,32,"University of Dublin, Trinity College",Engineering,4.7
Percival Wishart,Indonesia,M,38,Universitas Tanjungpura,Product Management,3.06
Tony Brayne,Indonesia,F,26,Institut Teknologi Bandung,Training,0.45
Abigale Stuckford,Colombia,F,40,Universidad del Magdalena,Human Resources,1.68
Nanine Line,United States,F,36,Forest Institute of Professional Psychology,Product Management,2.35
Cinda Hickisson,Peru,F,22,Universidad Los Angeles de Chimbote,Engineering,1.5
Xenia Bengtsen,Honduras,F,38,Escuela Agricola Panamericana Zamorano,Product Management,2.72
Lita Garn,Japan,M,47,Tohoku Fukushi University,Accounting,0.03
Rikki Morman,Greece,M,44,University of Peloponnese,Training,4.16
Waylan Furmenger,United Kingdom,F,44,University Campus Suffolk,Business Development,2.86
Hobard Darlison,Philippines,M,22,Aquinas University,Marketing,2.06
Scot Millar,Nigeria,F,26,Salem University,Support,4.08
Penelope Ricardo,Argentina,F,40,Universidad Nacional de La Matanza,Product Management,0.63
Olive Matelaitis,Philippines,F,38,Isabela State University,Legal,3.55
Bobina Boken,China,M,20,Yangzhou University,Services,3.81
Agosto Shave,Myanmar,F,40,Technological University (Myeik),Training,1.45
Celene Lankford,China,M,41,Tibet University of Nationalities,Support,0.95
Karisa Wrightham,France,F,28,Université Stendhal (Grenoble III),Research and Development,1.46
Zelig Wiltshier,Sweden,M,31,World Maritime University,Engineering,3.02
Rik Stambridge,Philippines,M,43,College of the Holy Spirit,Services,3.56
Mace Curlis,Poland,M,21,Technical University of Opole,Marketing,2.51
Roselia Neely,France,F,50,Institut de Recherche et d'Enseignement Supérieur aux Techniques de l'électronique,Human Resources,3.73
Cheston Blowne,Colombia,F,21,Universidad Autónoma Latinoamericana,Research and Development,3.16
Karin Bramah,Armenia,M,50,French University in Armenia (UFAR),Product Management,0.85
Malynda Kubalek,Portugal,F,27,Instituto Superior Bissaya Barreto,Research and Development,3.74
Laurence Franceschi,Philippines,F,21,Centro Escolar University,Human Resources,0.55
Rafi Langcastle,Albania,F,20,American University of Tirana,Accounting,2.07
Irene Siddens,Argentina,M,47,Universidad Nacional de Misiones,Training,3
Abbott Colenutt,China,F,22,South University of Science and Technology of China ,Legal,2.76
Nonna Mussard,Indonesia,F,42,Universitas Proklamasi 45,Business Development,3.03
Federico Harring,Ukraine,M,28,Odessa National Polytechnic University,Sales,3.42
Toddy Melly,Indonesia,M,24,Universitas Ma Chung,Research and Development,4.74
Leslie MacCartney,Russia,F,45,Amur State University,Research and Development,3.14
