Name ,Country ,Sex,Age,University ,Department ,CGPA
Gerty Pellatt,Colombia,M,26,Universidad Autónoma de Occidente,Sales,2.53
Giffard Gayforth,Ukraine,F,36,East Ukrainian National University,Training,2.93
Mason Truitt,Russia,F,25,Altai State Medical University,Business Development,1.96
Francesca Mathie,Australia,F,34,University of Newcastle,Legal,0.91
Rudd Patzelt,Indonesia,F,35,Universitas Islam Syekh-Yusuf ,Product Management,3.54
Leeland Emburey,Netherlands,F,38,Free University Amsterdam,Services,3.45
Shermy Antunez,Croatia,F,31,University of Dubrovnik,Support,1.98
Wolfie Garnham,Poland,M,37,Academy of Economics in Wroclaw,Research and Development,4.73
Aundrea Peckett,Indonesia,F,26,Institut Teknologi Adhi Tama Surabaya,Human Resources,1.4
Lucille Hawkyens,Indonesia,M,44,Universitas Negeri Manado,Product Management,0.2
Reinhold Eblein,Syria,F,30,Ittihad Private University,Training,3.57
Guido Sumsion,China,F,45,Tianjin Normal University,Research and Development,3.99
Mona Pittoli,Latvia,F,45,Riga Teacher Training and Educational Management Academy,Engineering,1.41
Margette Tift,Indonesia,F,20,Institut Sains dan Teknologi Al Kamal,Legal,0.97
Boot Comini,Brazil,M,42,Universidade Federal de Viçosa,Business Development,0.42
Lynea Alfonso,Indonesia,F,20,Universitas Katolik Indonesia Atma Jaya,Training,1.77
Wolfgang Wheeldon,Indonesia,F,29,Universitas Trilogi,Human Resources,0.95
Gerrard Zuan,China,F,44,Beijing Polytechnic University,Legal,2.7
Hamlen Kleinzweig,Indonesia,M,33,Universitas Muhammadiyah Surakarta,Human Resources,4.31
Stirling Menichi,Russia,M,36,Ulyanovsk State Pedagogical University,Sales,1.6
Jamesy Trewhella,Russia,M,43,Kuban State University,Training,1.33
Celestina Duigan,China,M,38,4th Military Medical University,Support,4.66
Analiese Gonnely,Sweden,M,45,School of Design and Crafts,Services,3.05
Elly Winham,Indonesia,M,47,Universitas Bunda Mulia Jakarta,Engineering,4.56
Irvine Fiddiman,Russia,F,30,St. Petersburg State University of Economics and Finance,Support,2.64
Faythe Theobalds,Bulgaria,F,26,University of Forestry Sofia,Research and Development,1.83
Rick Maddern,Thailand,F,45,Kasetsart University,Research and Development,1.15
Rockie Cracknall,Israel,M,27,Open University of Israel,Legal,0.27
Kirbee McBeth,China,M,23,Southern Medial University,Business Development,0.99
Nahum Ozintsev,United States,F,34,Monmouth University,Accounting,4.77
Benjamin Keelinge,Indonesia,F,47,Universitas Islam Bandung,Product Management,1.97
Raina Straughan,Iran,F,26,Vali-e-Asr University,Services,1.42
Yance Miskelly,Colombia,F,23,Universidad Autónoma de Manizales,Sales,1.58
Camile Cowdrey,China,F,43,Tongji University,Accounting,4.59
Ardra Marke,Tunisia,F,38,Institut Supérieur de Gestion de Tunis,Services,3.65
Nevile Dorrity,Brazil,M,33,Universidade Federal do Amapá,Training,0.84
Dinny Das,Indonesia,F,35,Universitas Muhammadiyah Sumatra Utara,Support,1.63
Rhea Lush,Pakistan,M,44,Dadabhoy Institute of Higher Education,Services,3.29
Hamid Marquis,Russia,M,23,Orenburg State University,Human Resources,4.25
Cicily Chateau,Mauritius,M,40,University of Mauritius,Product Management,3.61
Angy Samwell,Spain,F,24,Universidad de La Laguna,Legal,3.92
Arie Benettolo,Belarus,M,34,Polotsk State University,Accounting,2.65
Oneida Adran,Republic of the Congo,F,44,University Marien Ngouabi Brazzaville,Marketing,3.77
Danice Forrestill,Peru,F,50,Universidad Católica Santo Toribio de Mogrovejo,Services,4.92
Jeni Luisetti,Uzbekistan,F,30,National University of Uzbekistan,Research and Development,2.64
Hana Taysbil,Brazil,M,45,Universidade Federal da Bahia,Engineering,0.61
Arliene Koppes,Russia,F,27,New Economic School,Support,2.98
Katy Burwell,Russia,M,38,Nizhny Novgorod State Technical University,Legal,4.93
Dyana Connelly,Western Sahara,M,40,Nebraska Christian College,Legal,1.46
Manon Hanrahan,Greece,F,21,Aristotle University of Thessaloniki,Business Development,0.21
Elene Hethron,Czech Republic,F,44,University of New York in Prague,Training,4.72
Chlo Shills,Russia,F,46,Moscow State Industrial University,Training,3.18
Elwin Haggish,Norway,M,40,National Academy of Fine Arts,Sales,3.68
Munroe Stickel,Cameroon,M,32,Université de Buéa,Human Resources,0.04
Linet Brockest,Russia,F,35,Ulyanovsk Higher School of Civil Aviation,Legal,0.9
Zollie Duddle,Albania,M,38,University “Pavaresia” Vlore,Sales,2.99
Shepherd Taillard,Croatia,M,24,Zagreb School of Economics and Management,Support,2.28
Doloritas Cooke,Sweden,F,31,Örebro University,Support,3.18
Gerhardine Aldrin,Botswana,F,21,Botho University,Support,3.21
Lindy Aldins,China,F,20,Chongqing University of Technology,Product Management,3.1
Tildy Lowery,Aruba,F,29,Air University,Human Resources,1.44
Celestyna Wareham,Uzbekistan,F,46,Westminster International University in Tashkent,Research and Development,3.57
Alana Wedmore.,China,M,32,Dalian University,Legal,1.56
Olwen Upchurch,Canada,F,27,Northern Alberta Institute of Technology,Legal,1.78
Raddie Unworth,United States,M,23,"National American University, Colorado Springs",Marketing,3.81
Lawton Cherry,Finland,M,23,University of Oulu,Training,3.73
Ashleigh Barck,Indonesia,F,24,Universitas Sriwijaya,Product Management,3.84
Glennie Reichardt,France,M,32,Ecole Nationale Supérieure d'Ingénieurs en Mécanique et Energétique de Valenciennes,Accounting,0.48
Rhoda Goodbanne,China,M,39,Chongqing University of Post and Telecommunications,Training,1.02
Jannelle Blinkhorn,Japan,F,21,Osaka Electro-Communication University,Product Management,3.79
Selena Wyvill,Poland,F,29,Cardinal Stefan Wyszynski University in Warsaw,Support,2.7
Keane Hylden,Portugal,F,45,Universidade Lusiada,Research and Development,3.07
Giorgio Fidgett,China,F,31,University of Jinan,Business Development,0.28
Gerrilee Rilston,Norway,F,34,Norwegian State Academy of Music,Training,0.69
Craig Grumble,China,M,21,Chinese People's Public Security University,Marketing,2.74
Lezlie McPolin,Brazil,M,37,Pontifícia Universidade Católica de Minas Gerais,Engineering,2.77
Adella Waldram,Brazil,M,23,Universidade Federal do Vale do São Francisco,Research and Development,2.22
Zacherie McReedy,Burkina Faso,M,49,Université de Ouagadougou,Business Development,0.9
Mikael Cundey,Indonesia,M,46,Universitas Gunadarma,Accounting,4.96
Milo Vandrill,Russia,M,47,St. Petersburg State University of Aerospace Instrumentation,Accounting,1.41
Kimball Sketcher,Slovenia,F,42,University of Ljubljana,Training,4.28
Julie Hintzer,Ukraine,F,49,National University of Internal Affairs,Engineering,2.86
Fara Christmas,Indonesia,F,28,Universitas Darma Agung,Sales,4.21
Emelina Redolfi,Indonesia,M,48,Universitas Nasional Jakarta,Research and Development,0.47
Jaime Mayler,Portugal,M,23,Universidade da Madeira,Legal,1.43
Arlana Jerzak,Poland,F,45,"Music Academy ""Karol Szymanowski"" in Katowice",Services,2.89
Davina Emmett,Indonesia,F,44,Universitas Jenderal Achmad Yani,Services,1.9
Alford Coupar,Serbia,F,48,University of Nis,Product Management,0.64
Rafferty Sexti,Tajikistan,M,22,Tajikistan International University,Marketing,0.78
Dierdre Keppy,United States,F,45,Fordham University,Support,5
Thedric Guerra,Indonesia,M,48,Politeknik Negeri Lhokseumawe,Services,3.73
Serena Howton,Czech Republic,F,48,Anglo-American University,Human Resources,1.36
Ernestus Cesconi,France,F,22,Université de Cergy-Pontoise,Support,0.69
Horten Koopman,Iran,M,42,Babol University of Medical Sciences,Product Management,1.34
Truman Cobelli,Japan,M,43,Joetsu University of Education,Accounting,1.14
Jaclyn Rockwell,Turkmenistan,M,40,International Turkmen Turkish University,Business Development,4.13
Merrili Crighton,China,M,47,Guangxi University for Nationalities,Services,4.33
Daniela Carillo,Czech Republic,M,39,"University of Northern Virginia, Prague Campus",Human Resources,4.49
Benton Parlot,Philippines,F,41,Ateneo de Davao University,Product Management,0.63
Onfroi Prugel,China,M,25,Shandong Economic University,Legal,2.24
Gipsy Gerwood,Czech Republic,F,38,Technical University of Liberec,Services,0.24
Karolina Donkersley,Madagascar,F,49,Université de Toamasina,Business Development,2.3
Reece Absolom,Argentina,M,47,Universidad Maimónides,Sales,0.86
Scarlett Flawith,China,M,36,Zhongnan University of Finance and Economics,Accounting,4.41
