Name ,Country ,Sex,Age,University ,Department ,CGPA
Nicol Wolvey,Norway,F,34,Norwegian University of Sport and Physical Education,Accounting,0.37
Sissy McGrale,Peru,F,46,Universidad Alas Peruanas,Engineering,0.62
Mab Kelshaw,China,F,32,Tianjin Medical University,Human Resources,3.33
Giff Eslinger,China,F,31,Zhejiang Normal University,Training,2.73
Eleanore Swannell,Portugal,M,31,Universidade Portucalense Infante D. Henrique,Support,0.9
Maximilianus Metschke,Iran,M,24,Art University,Support,0.27
Desmond Clarricoates,Japan,M,30,Setsunan University,Human Resources,2.72
Josee Rook,Indonesia,M,42,Universitas Ibn Khaldun Bogor,Training,0.56
Lionello Dyter,Hungary,F,35,Semmelweis University of Medical Sciences,Engineering,3.06
Rhodie Rickell,Morocco,M,41,Université Hassan II - Aïn Chock,Human Resources,1.04
Charmain Halling,Indonesia,M,50,Universitas Negeri Malang,Marketing,1.49
Sibby Rummin,Finland,F,29,University of Jyväskylä,Engineering,4.51
Joelly Faucett,Indonesia,M,44,Universitas Gajayana Malang,Support,4.22
Konstantin Turl,China,M,37,Chongqing Education College,Support,0.96
Georgy Braley,Russia,F,30,Yelets State University,Legal,0.95
Nert Elvin,Russia,F,37,Ukhta State Technical University,Marketing,3.51
Eugen Myring,Guatemala,M,48,Universidad de San Carlos de Guatemala,Training,0.61
Noami Tassaker,Guatemala,F,25,Universidad Rural de Guatemala,Legal,3.45
Nonnah Mendus,Indonesia,M,33,Universitas Putera Batam,Training,1.3
Sherm Paragreen,China,F,49,Xinjiang University,Services,4.86
Ugo McLoughlin,United Kingdom,F,45,Chelsea College of Art and Design,Training,2.85
Anders Chinnick,Indonesia,F,23,Universitas Lambung Mangkurat,Research and Development,3.12
Milty Forster,Canada,F,37,Ontario College of Art and Design,Accounting,2.75
Padget Antonognoli,Iran,M,39,Urmia University of Medical Sciences,Marketing,3.76
Casey Cromb,Philippines,M,43,Saint Paul University,Engineering,0.93
Laurice Delap,Colombia,M,49,Universidad de América Bogotá,Accounting,2.55
Anni Morville,Indonesia,F,49,Universitas Klabat,Accounting,3.68
Cyrille Forgie,China,M,32,China Agriculture University East,Engineering,0.13
Wald Jermyn,China,M,40,Xihua University,Services,3.24
Lyn Deverall,Sweden,F,42,Jönköping University College of Health Sciences,Business Development,0.19
Kenny Loveman,Ireland,F,22,"Institue of Technology, Tralee",Product Management,4.24
Boone Onthank,Philippines,M,32,University of the Philippines Mindanao,Services,4.94
Cathy Liley,China,M,31,Guangxi Medical University,Accounting,0.19
Neel McIvor,Russia,F,35,Far Eastern State Technical Fisheries University,Product Management,4.8
Hamil Threadgill,Philippines,M,45,Divine Word College of Legazpi,Product Management,0.8
Lucita Jallin,Sweden,M,38,Umea University,Support,2.31
Codee Scarbarrow,Togo,F,48,Université de Lomé,Engineering,4.26
Elsi Averill,Mexico,F,28,Instituto de Estudios Superiores de la Sierra,Sales,4.58
Emlynne O'Tuohy,Philippines,M,39,University of Bohol,Product Management,2.15
Shawn Gerrelts,Czech Republic,F,44,Czech University of Agriculture Prague,Services,1.51
Barty Pikhno,Honduras,M,45,Universidad Tecnológica Centroamericana,Support,4.15
