Name ,Country ,Sex,Age,University ,Department ,CGPA
Demetris Postgate,Russia,M,37,Tomsk State University of Control Systems and Radioelectronics,Product Management,1.92
Rosabelle Early,Portugal,F,30,Instituto Politécnico de Bragança,Marketing,2.55
Kris Vosse,Peru,F,23,Universidad Privada Juan Mejía Baca,Support,3.92
Katinka Colwill,Iraq,M,20,Al Yarmouk University College,Research and Development,3.55
Arlene Spurier,China,F,26,Anhui Normal University,Human Resources,1.31
Rana Avramovic,Belarus,F,41,Academy of the Ministry of Internal Affairs of the Republic of Belarus,Marketing,0.25
Evy Auchterlonie,Philippines,F,23,University of lloilo,Research and Development,0.31
Marion Headon,Indonesia,M,37,Universitas 17 Agustus 1945 Samarinda,Marketing,4.19
Lottie Colthurst,Jamaica,F,47,University of Technology Jamaica,Human Resources,4.08
Rochette Golston,Indonesia,M,28,Universitas Diponegoro,Services,4.04
Coraline Menendes,Colombia,M,27,Universidad Católica de Manizales,Accounting,2.46
Berthe Parsonage,China,F,50,Shanghai University of Finance and Economics,Business Development,0.98
Fabiano Beckinsale,China,F,40,Chongqing Vocational College of Public Transportation,Marketing,1.66
Jodie Roll,Belarus,M,30,Polotsk State University,Accounting,2
Cinda Simunek,China,F,30,Shanghai Second Polytechnic University,Product Management,0.62
Carlotta Ellacombe,Nepal,M,49,Lumbini Buddhist University,Training,0.69
Davida Foulsham,Mongolia,M,27,Orkhon University,Marketing,4.13
Micheline Thoms,Cambodia,M,40,University of Health and Science,Engineering,4.01
Frasco Grombridge,China,M,29,Beijing Polytechnic University,Product Management,1.08
Katleen Vigors,Malaysia,M,45,YPC-iTWEB College,Human Resources,1.51
Lyndsey Gregorio,Russia,M,38,Omsk State University,Sales,0.43
Sherwynd Missen,Argentina,M,43,Universidad Nacional de Entre Ríos,Sales,3.4
Lynde Wayon,Comoros,F,45,Akwa Ibom State University of Technology,Engineering,4.31
Dewey Wasbey,Malaysia,M,23,Universiti Utara Malaysia,Services,1.89
Shanda Chezelle,Bulgaria,M,42,"South-West University ""Neofit Rilski""",Sales,4
Netty Angrave,Portugal,F,48,Instituto Politécnico de Leiria,Product Management,0.38
Shirl Coughlan,Macedonia,F,24,FON University,Sales,4.29
Dierdre Normant,Mexico,M,43,Instituto Tecnológico de Morelia,Research and Development,3.69
Titos Braker,Chile,M,33,Universidad Francisco de Aguirre,Engineering,4.68
Emelyne Pembridge,Micronesia,M,49,Universidade de Fortaleza,Sales,2.37
Berna Gambie,China,M,28,Fuzhou University,Training,4.13
Corbie Hearthfield,China,M,28,Zhongnan University of Economics and Law,Human Resources,0.03
Gayle Fairhead,Spain,F,32,Universidad Pablo de Olavide,Engineering,3.26
Leone Pavlishchev,Philippines,M,25,Tarlac State University,Product Management,3.46
Vale Reck,Bolivia,M,24,"Universidad Católica Boliviana, Cochabamba",Product Management,1.88
Rivkah Shimuk,China,F,24,Shandong University,Accounting,4.29
Luce Sanches,Portugal,M,27,Instituto Superior de Transportes e Comunicações,Marketing,2.17
Shantee Cockitt,Iran,M,49,Allameh Tabatabaie University,Support,4.94
Sophie Dewberry,Laos,F,25,National University of Laos,Services,0.43
Derrek Keasey,Canada,F,36,Camosun College,Business Development,1.54
Klarrisa Traske,China,M,36,Central Radio and TV University,Marketing,4.25
Danit Chessor,Philippines,F,25,University of Negros Occidental-Recoletos,Marketing,1.91
Gav Waggitt,Iran,M,30,Yazd University,Legal,1.21
Pren Tourner,Venezuela,M,46,Universidad Centro Occidental Lisandro Alvarado,Training,0.84
Caro Ducker,China,F,25,Shanghai University,Human Resources,2.78
Jaye Castagnaro,Russia,F,28,Don State Agrarian University,Product Management,0.22
Mort Dello,Ecuador,M,39,Universidad Técnica de Babahoyo,Accounting,4.23
Jervis Digginson,Germany,F,32,Fachhochschule Hof,Legal,0.55
Torrance Fosher,China,M,39,Shandong Agricultural University,Engineering,3.86
Nert Shoard,Solomon Islands,F,40,University of the South Pacific,Research and Development,4.48
Torrence Truesdale,Portugal,F,35,Instituto Politécnico de Beja,Training,4.11
Rabi Meads,China,F,34,Northeast Forest University,Human Resources,3.31
Jerrilyn Markussen,China,F,31,Hunan Normal University,Research and Development,4.13
Bailie Tribble,Poland,F,21,Agricultural University of Warsaw,Services,1.69
Brody Avramov,China,M,38,Chongqing University of Communications,Services,2.34
Murielle Barajas,China,M,33,Buddhist Acamedy of China,Research and Development,0.99
Faith Gullis,Canada,F,29,University of Western Ontario,Research and Development,2.55
Fiann Kalinovich,China,F,42,Xinjiang University,Product Management,4.53
Perice Theakston,Japan,M,31,Japanese Red Cross College of Nursing,Support,2.15
Darrell Boake,Mongolia,F,35,Mongolian University of Science and Technology,Training,1.15
Kariotta Jerratsch,Russia,M,21,Adygeja State University,Services,0.67
Mollee Emer,China,F,26,Gansu Agricultural University,Services,0.31
Gerda Hobell,Slovenia,F,31,University of Nova Gorica,Legal,3.73
Kristal Robart,Indonesia,M,38,Universitas Terbuka Indonesia,Marketing,1.91
Brandy Dawe,Russia,M,50,Baikal National University of Economics and Law,Support,0.87
Kendell Hobble,Philippines,M,29,Leyte Normal University,Support,0.36
Orv Luckman,Indonesia,F,47,Universitas Semarang,Sales,3.56
Albie Killock,Indonesia,M,43,STMIK AMIKOM Yogyakarta,Sales,2.74
Madison Burl,Japan,F,20,Miyagi University,Marketing,3.41
Say Gunby,Philippines,F,49,Ateneo de Manila University,Support,4.28
Jordan Patifield,Indonesia,M,46,Abfi Institute Perbanas Jakarta,Legal,0.73
Zachary Kleinmann,Kyrgyzstan,F,20,Kyrgyz State Technical University,Accounting,1.15
Gianina Murrish,China,M,47,Ningxia University,Product Management,1
