Name ,Country ,Sex,Age,University ,Department ,CGPA
Robina McClune,China,F,37,University of Jinan,Engineering,0.02
Worthington Kinghorn,Philippines,M,22,Saint Ferdinand College,Engineering,1.24
Ashil Surby,Macedonia,F,36,St.Cyril and Methodius University,Marketing,0.86
Kathryne Cooksley,Indonesia,F,50,"Universitas Pembangunan Nasional ""Veteran"" East Java",Human Resources,0.48
Elyse Antoniat,Czech Republic,F,33,University of South Bohemia,Research and Development,3.16
Merla Potkin,Portugal,F,31,Escola Superior de Artes e Design,Services,0.02
Morten Van,Indonesia,M,27,Universitas Andalas,Training,0.1
Kamillah Smither,China,F,38,Central South University,Training,0.25
Arlena MacIlwrick,Bosnia and Herzegovina,M,33,International University of Travnik,Research and Development,4.32
Corinne Abrahamoff,Indonesia,F,34,Universitas Wijaya Kusuma Surabaya,Services,4.68
Stephana Loakes,Finland,M,22,University of Joensuu,Sales,1.14
Brigitte Gendricke,Armenia,F,35,Eurasia International University,Research and Development,4.64
Rebbecca Pagelsen,Canada,F,37,Canadian College of Business & Computers,Sales,2.02
Berkie Sergean,Burkina Faso,M,25,Université de Ouagadougou,Business Development,0.03
Bobbee Snassell,North Korea,M,23,Pyongyang University of Science and Technology,Engineering,2.09
Donnie Fearenside,Thailand,F,24,Mahanakorn University of Technology,Accounting,3.67
Heida Vandrill,Indonesia,F,50,Politeknik Pos Indonesia,Marketing,3.81
Amerigo Henriet,France,F,36,Ecole Supérieure de Commerce et Management,Research and Development,1.72
Jemima Pley,Philippines,M,20,Feati University,Human Resources,4.18
Tamara Nesbitt,Sweden,M,37,Stockholm Institute of Education,Business Development,4.87
Sigfrid Veasey,Cuba,M,36,Universidad de Holguín,Product Management,4.67
Levy Rock,Czech Republic,M,42,Technical University of Liberec,Product Management,3.99
Basil Dowey,Philippines,F,48,Saint Louis University,Business Development,1.68
Dorine Elia,Afghanistan,M,33,Taj Institute of Higher Education,Legal,0.31
Missie Waind,China,F,48,Hebei United University,Human Resources,4.22
Moshe Asman,Poland,F,49,Pedagogical University of Czestochowa,Business Development,4.85
Maynord Triswell,Indonesia,M,45,Politeknik Negeri Padang,Legal,4.43
Sigmund Theobalds,Sweden,M,45,Umea University,Support,4.44
Charlot Pittman,Belgium,F,21,"Hogeschool voor Wetenschap en Kunst (VLEKHO), Brussel",Training,4.92
Cob Eatttok,Tunisia,F,42,Université de 7 Novembre à Carthage,Sales,4.04
Dari Luther,Philippines,M,41,Virgen Milagrosa University Foundation,Services,0.1
Ivette Bovey,China,F,41,Southwest Agricultural University,Research and Development,0.7
Janifer Kohlert,France,M,26,Ecole Nationale Supérieure d'Electrochimie et d'Electrométallurgie de Gernoble,Human Resources,0.57
Colene Presshaugh,Venezuela,F,31,Universidad Tecnológica del Centro,Business Development,2.32
Clay Benit,United States,F,27,Mills Grae University,Human Resources,2.13
Arnoldo McKevitt,Philippines,F,24,San Beda College,Legal,3.12
Lemuel Pusey,Thailand,M,32,Suan Dusit Rajabhat University,Training,4.01
Bord Gledhill,China,F,39,Beijing University of Chinese Medicine and Pharmacology,Support,1.73
Jo ann Sharpe,China,F,35,Shanghai International Studies University,Training,3.72
Francisco Pinks,Honduras,F,49,Universidad Metropolitana de Honduras,Accounting,3.53
Darill Oran,Philippines,F,36,University of Nueva Caceres,Accounting,2.71
Derrik Veljes,Venezuela,M,40,Universidad José Maria Vargas,Services,1.91
Melodie Comford,Russia,M,32,Samara State Aerospace University,Human Resources,3.97
Dene Titchener,Bulgaria,M,21,American University in Bulgaria,Research and Development,4.6
Birgit Haldene,Serbia,M,36,Privredna Akademija (Business Academy),Legal,2.55
Lucias Annets,New Zealand,M,41,Victoria University of Wellington,Business Development,3.35
Rowney Iacovazzi,Indonesia,M,20,Universitas Jambi,Accounting,0.13
Pebrook Brundrett,Democratic Republic of the Congo,M,20,Université de Bandundu Ville,Training,1.74
Flossie McFaell,China,M,26,Southwest University of Science and Technology,Services,4.54
Wally Readhead,Philippines,M,43,Divine Word College of Legazpi,Services,4.19
Gayelord Niblock,Philippines,F,48,University of Eastern Philippines,Marketing,4.03
Efrem Kyd,Greece,M,37,University of Western Macedonia,Human Resources,4.53
Maddy Hurrion,Indonesia,F,41,Universitas Cenderawasih,Human Resources,0.78
Eloise Kivell,France,F,49,Université du Maine,Support,0.47
Madelin Shawell,Philippines,F,34,University of Manila,Marketing,3.88
Joshia Brandsma,Anguilla,F,47,Sojourner-Douglass College,Support,2.35
Morty Rojahn,Argentina,F,40,Universidad Torcuato di Tella,Business Development,2.26
Laurella Covotto,Brazil,M,43,Universidade Vale do Rio Doce,Services,0.28
Rawley Duran,China,F,25,Inner Mongolia Agricultural University,Human Resources,4.76
Diego Altimas,China,M,31,Ningxia University,Support,0.16
Gary Iacovo,Mexico,M,31,Universidad Motolinía del Pedegral,Accounting,1.03
Priscilla Dickins,Brazil,F,27,Universidade Luterana do Brasil,Training,0.65
Fax Haglington,Ireland,M,49,Irish International University (Distance Education),Legal,1.31
Ambrosio Howis,Peru,F,35,Universidad Privada San Juan Bautista,Sales,4.33
Alessandro Hewson,China,F,48,Tibet Tibetan Medical College,Engineering,0.81
Tandi Bolin,Indonesia,F,22,Universitas Ibn Khaldun Bogor,Human Resources,4.99
