Name ,Country ,Sex,Age,University ,Department ,CGPA
Kaitlyn Allchorne,China,F,33,Xi'an International Studies University,Accounting,3.14
Corrianne Meineking,Russia,M,49,Penza State University,Research and Development,4.09
Carey Deinert,China,M,43,Wenzhou University,Engineering,1.4
Becky Carbert,China,F,22,Qinghai Radio & Television University,Training,2.96
Betteanne Rayner,Portugal,F,32,Escola Nautica Infante D. Henrique,Research and Development,1.34
Maurizio Connealy,Philippines,F,30,Information and Communications Technology Academy,Services,4.25
Yetty Scade,France,F,24,Université Nancy II,Business Development,2.43
Conrade Rooke,Portugal,M,50,Instituto Superior de Ciências Empresariais e de Turismo,Engineering,4.19
Gabe Reichert,Poland,M,30,Maria Grzegorzewska College for Special Education,Business Development,1.51
Lil Josephi,Israel,M,24,Weizmann Institute of Science,Support,3.27
Inessa Matthiesen,China,M,32,Chongqing Wenli University,Business Development,4.89
Christine Pach,Brazil,F,29,Universidade de Brasília,Research and Development,2.46
Carey Casperri,China,F,25,Tibet Agricultural and Animal Husbandry College,Engineering,2.47
Alta Coppard,Czech Republic,M,26,University of New York in Prague,Services,4.66
Guillaume Muehle,Philippines,M,38,Bulacan State University,Marketing,2.72
Lucie Stopforth,China,F,47,Xi'an Jiaotong-Liverpool University,Engineering,0.3
Perl Kernocke,China,M,28,Chongqing University of Communications,Product Management,4.19
Amber Waliszek,Spain,F,43,Universidad Católica San Antonio,Services,3.55
Wendie Ferrige,Germany,F,39,Theologische Fakultät Paderborn,Product Management,3.01
Charley Smale,Mongolia,M,26,Mongolian State University of Arts and Culture,Sales,2.58
Tades Youings,Poland,M,39,Pedagogical University of Zielona Gora,Training,1.74
Ashlin Crehan,China,F,39,Wenzhou University,Accounting,1.21
Zilvia Lobley,China,M,43,Hebei Agricultural University,Services,2.07
Woodrow Schmidt,Mexico,M,37,Universidad Regional Miguel Hidalgo,Research and Development,4.48
Gan Retchless,Brazil,M,32,Universidade Católica de Pelotas,Human Resources,3.14
Abeu Marchington,Madagascar,M,24,Université de Fianarantsoa,Legal,2.48
Colby Wones,Armenia,M,22,French University in Armenia (UFAR),Training,2.53
Desmond Lemmertz,China,F,37,Shanxi Normal University,Product Management,4.36
Chickie Udale,Honduras,M,21,Universidad Metropolitana de Honduras,Engineering,0.01
Lonnard Serjent,France,F,28,Ecole Nationale Vétérinaire de Lyon,Marketing,4.78
Leora Saurat,Tanzania,F,43,Institute of Accountancy Arusha,Research and Development,1.88
Filberte Elton,Peru,M,34,Universidad Nacional Pedro Ruíz Gallo,Engineering,3.34
Ardelis Kringe,Costa Rica,M,26,Universidad Autónoma de Centro América,Training,4.97
Rubia Brownsill,China,M,27,China Academy of Art,Legal,0.57
Wallie Ramsell,Sweden,F,27,Lulea University of Technology,Human Resources,3.84
Modesty Simmank,Sudan,F,24,University of Khartoum,Services,1.71
Terence Zuann,China,M,34,Nanjing Institute of Meteorology,Sales,3.8
Joletta Bardwell,Brazil,F,48,Fundação Educacional de Ituverava,Product Management,2.57
Alick McVee,Peru,M,47,Universidad Peruana Union,Product Management,1.85
Bertine Wong,Azerbaijan,M,45,Azerbaijan Technical University,Sales,2.86
Barton Leadstone,Indonesia,F,29,Universitas Kristen Indonesia,Human Resources,0.82
Casar Dorwood,United States,M,41,University of Illinois at Chicago,Support,2.88
Nicolas Harlock,Indonesia,M,24,Universitas Advent Indonesia,Human Resources,4.19
Cordy Aynold,China,M,22,Guangzhou University of Traditional Chinese Medicine,Training,0.8
Westleigh Janicki,Japan,M,41,Nara University of Education,Services,0.53
Roxana Tassell,Pakistan,M,26,Faisalabad Institute of Textile and Fashion Design,Product Management,1.69
Evangelia Hixson,Peru,F,48,Universidad Nacional Hermilio Valdizan,Marketing,2.97
