Name ,Country ,Sex,Age,University ,Department ,CGPA
Norean Hebborne,Japan,F,50,Kyoto Tachibana Women's University,Engineering,1.82
Orsa Layton,Albania,M,29,Epoka University,Engineering,2.85
Nesta Heymes,Latvia,M,37,Baltic International Academy,Training,0.85
Malvin Sibbering,China,M,43,Nanjing Normal University,Sales,1.79
Donna Attack,China,M,38,Jiangxi Agricultural University,Support,3.9
Cassius Grizard,China,M,20,The University of Nottingham Ningbo China,Support,0.39
Carie Wardingley,China,M,30,Huazhong University of Science and Technology,Support,0.83
Nannie Going,Ukraine,M,47,Ivano-Frankivsk National University of Oli and Gas,Accounting,0.88
Aubine Lardeux,Maldives,F,27,Mandhu College,Human Resources,0.27
Gena Tefft,Indonesia,F,20,Universitas Sam Ratulangi,Sales,1.51
Gerick Kilkenny,Mexico,F,34,El Colegio de México,Services,4.53
Arlen McGivena,France,M,26,Institut d'Etudes Politiques de Paris (Sciences Po),Human Resources,5
Crystal Aish,United States,M,47,University of Vermont,Business Development,1.77
Fredi Grahamslaw,Ukraine,M,43,Kiev National Economic University Named after Vadym Hetman,Research and Development,4.33
Teriann M'cowis,Indonesia,M,33,Universitas Darma Agung,Support,2.22
Renelle Huskisson,Puerto Rico,F,45,"Universidad de Puerto Rico, Humacao",Services,1.13
Pauline Devonshire,Vietnam,F,45,University of Da Nang,Legal,0.52
Pryce Dyzart,Greece,F,42,Technological Education Institute of Athens,Accounting,0.54
Ki Colbron,Belarus,F,28,Belarussian State Academy of Music,Engineering,1.53
Verina Lympany,Indonesia,M,26,Universitas Klabat,Accounting,2.17
Willard Shawe,Peru,F,28,Universidad Particular Inca Garcilaso de la Vega,Support,1.55
Doloritas Follett,Poland,F,39,Adam Mickiewicz University of Poznan,Engineering,2.94
Jerri Franciskiewicz,Philippines,F,49,Manila Central University,Services,1.7
Lucius Furby,Dominican Republic,M,28,Universidad Adventista Dominicana,Human Resources,3.82
Obidiah Tallboy,Serbia,M,41,University of Belgrade,Business Development,2.51
Orelee Peddersen,Thailand,F,38,Phranakhon Si Ayutthaya Rajabhat University,Business Development,2.11
Cyndie Palmby,United States,M,41,University of New Orleans,Support,3.68
Pate Estoile,Philippines,F,48,Information and Communications Technology Academy,Support,3.18
Zebadiah Tapping,Egypt,M,25,University of Sadat City,Engineering,0.75
Alika Gildersleeve,Sweden,F,48,Stockholm School of Economics,Marketing,0.73
Carmelita Picknett,Russia,M,40,Tomsk State University,Accounting,0.12
Nicoline Dominguez,Philippines,M,21,Virgen Milagrosa University Foundation,Research and Development,1.01
Eugenius Minogue,Colombia,F,44,Universidad de Sucre,Services,1.92
Alex Matyugin,Tanzania,M,31,International Medical & Technological University,Accounting,4.53
Katharyn Ready,China,F,21,Hubei University,Marketing,0.47
Cherish McMeekin,Palestinian Territory,F,37,Bethlehem University,Product Management,1.14
Janaya Alabastar,China,F,41,China Foreign Affairs University,Accounting,2.44
Jake Cawcutt,China,F,29,Guangzhou University of Traditional Chinese Medicine,Business Development,3.17
Johann Basnett,China,M,27,Yan Shan University,Support,2.86
Agatha Dearman,China,M,45,Wuhan Transportation University,Accounting,4.03
Nataline Meeks,Iraq,F,38,Al Mamon University College,Support,2.6
Stuart Mellmer,China,F,27,Shandong Normal University,Accounting,3.6
Massimo Gordon,Brazil,M,31,Universidade de Pernambuco,Training,4.42
Matthias Riding,Thailand,M,43,University of the Thai Chamber of Commerce,Research and Development,0.99
Nance Dawkes,Poland,F,47,University of Insurance and Banking in Warsaw,Legal,3.7
Vladimir Penreth,Philippines,M,35,De La Salle University,Research and Development,1.59
Isidor Mc Menamin,Portugal,M,49,Instituto Superior de Línguas e Administração,Product Management,0.09
Rikki Flisher,Poland,M,29,Leon Kozminski Academy of Entrepreneurship and Mangement in Warsaw,Training,4.24
Bertrand Childe,China,F,38,Sichuan Fine Art Institute,Engineering,4.9
Heath Pevie,Indonesia,M,37,Politeknik Negeri Bandung,Research and Development,1.97
Sully Peskett,Russia,F,34,Novgorod State University,Services,2.18
Marc Titmus,Indonesia,F,43,Universitas Padjadjaran,Business Development,3.92
Ethan Brampton,China,M,43,University of Hydraulic Electric Engineering,Services,2.85
Michel Carsberg,Ukraine,M,40,Kharkiv National University of Economics,Business Development,4.07
Monroe Bremmer,Indonesia,F,43,Universitas Islam Sumatera Utara,Training,1.03
Patric O'Shiel,Indonesia,F,26,Institut Sains & Teknologi Akprind,Engineering,0.93
Roselia Allcoat,Peru,M,41,Universidad San Martin de Porres,Human Resources,2.39
Mair Jumel,Morocco,M,38,Ecole Nationale d'Architecture,Product Management,0.46
Theresina Durward,Guatemala,F,35,Universidad Rural de Guatemala,Human Resources,4.7
Darnell Vequaud,Palestinian Territory,M,46,University College of Applied Sciences,Marketing,2.1
Nance Tilmouth,Burkina Faso,F,47,Université de Ouagadougou,Marketing,2.93
Lonny Treble,Russia,M,36,Moscow Institute of Physics and Technology,Support,2.08
Yuma Dundin,Philippines,M,33,Feati University,Human Resources,3.04
Arabela Cantopher,Ukraine,M,41,Ivano-Frankivsk National University of Oli and Gas,Accounting,1.24
Rebekkah Chittie,Indonesia,M,30,Universitas Persada Indonesia Y.A.I,Legal,2.17
Aleda Corbould,Estonia,M,38,Estonian Academy of Music and Theatre,Sales,2.01
Vittorio Ikins,China,F,48,Huanghe Science & Technology University,Services,4.64
Silvana Caress,Russia,F,47,Udmurt State University,Marketing,0.13
Hermione MacIlory,Netherlands,M,26,Tilburg University,Services,3.59
Bennie Bickerdicke,China,F,48,Guangxi Normal University,Sales,3.06
Veronika Leate,Ukraine,F,45,National Transport University,Product Management,0.46
Land Rappaport,China,M,29,Anhui Normal University,Training,4.35
Ragnar Thraves,Thailand,F,29,International Buddhist College,Research and Development,3.12
Roy Finlay,Thailand,M,39,Khon Kaen University,Training,0.22
Germain Crippes,China,F,47,Nanjing University of Aeronautics and Astronautics,Sales,3.66
Aldric Matys,China,M,44,Chongqing University of Science and Technology ,Marketing,1.93
Janette Walenta,Indonesia,F,35,Universitas Janabadra,Sales,3.73
Terza Stennet,Guatemala,M,21,Centro Universitario Ciudad Vieja,Product Management,1.56
Terrye Ariss,Japan,F,42,Sapporo Gakuin University,Human Resources,3.26
Raynell Woodhams,Indonesia,M,34,Universitas Swadaya Gunung Djati,Business Development,0.26
Jard Haddinton,Philippines,F,23,"University of the East, Ramon Magsaysay Memorial Medical Center",Research and Development,4.82
Jaime Geist,Sweden,F,29,Swedish University of Agricultural Sciences,Services,0.42
Syman Choke,China,F,23,Tibet Tibetan Medical College,Legal,0.23
Keeley Culpin,Greece,M,35,University of Peloponnese,Business Development,2.13
Ruben Lambdin,Macedonia,M,23,South East European University,Product Management,4.16
Jessie McKinnon,Cameroon,M,28,Université de Yaoundé II,Research and Development,1.64
Berkie Benbough,Indonesia,F,50,Universitas Ngurah Rai,Engineering,2.73
Anny Daughton,China,M,26,Wuhan University School of Medicine,Research and Development,0.51
Derwin McConville,Japan,M,45,Komazawa University,Services,2.91
Hannah Jarmaine,Thailand,F,29,Shinawatra University,Legal,3.32
Chicky Skelbeck,Afghanistan,F,43,Ibn Sina University,Legal,3.53
Nalani Pedersen,Indonesia,M,48,Universitas Madura,Accounting,3.01
Tim Creswell,Philippines,F,39,University of the Cordilleras,Human Resources,4.06
Astrid Robley,Colombia,F,31,Universidad de Manizales,Legal,1.41
Kermy Capron,China,F,34,Tianjin Normal University,Accounting,1.33
Wendye Lossman,Colombia,F,21,Conservatorio del Tolima,Business Development,2.62
Berthe Cay,Russia,M,36,Birsk State Pedagogical Institute,Services,0.87
Neda Eilhersen,China,M,40,Renmin University of China,Training,2.85
Rina Dowsing,China,F,29,Xinghai Conservatory of Music,Marketing,4.43
Deana Goodrum,Ireland,M,36,Dublin Institute for Advanced Studies,Training,1.84
Gabbi Frary,Russia,M,25,Academy of Management and Entrepreneurship,Research and Development,0.98
Jeniffer Kubicka,Russia,M,32,Tuva State University,Legal,4.56
Corissa Wilstead,Poland,F,27,"Music Academy ""Karol Lipinski"" in Wroclaw",Sales,3.74
Milty Littrell,Bahamas,F,37,The College of The Bahamas,Marketing,2.99
Kalie Ingleston,China,M,26,Liaocheng Teachers University,Business Development,0.02
Raviv Paddell,Thailand,M,20,Chiang Mai Rajabhat University,Sales,1.05
Vonnie Darrow,North Korea,M,40,Pyongyang University of Science and Technology,Legal,2.87
Bertrando Scotland,Japan,F,33,Oita Medical University,Engineering,3.5
Kipp Staunton,Brazil,M,38,Universidade do Estado do Rio de Janeiro,Legal,0.76
Anatollo Spragg,Netherlands,M,29,Hogeschool voor de Kunsten Utrecht (HKU),Services,0.59
